,SERIAL_NUMBER,PROCESS_DT,DLVR_RQESTER_ID,DLVR_REQUST_STTUS_VALUE,DLVR_RCEPT_CMPNY_ID,DLVR_STORE_ID,DLVR_STORE_INDUTY_NM,DLVR_STORE_LEGALDONG_CODE,DLVR_STORE_SIDO,DLVR_STORE_SIGUNGU,DLVR_STORE_DONG,DLVR_STORE_RI,DLVR_STORE_ADSTRD_CODE,DLVR_STORE_RDNMADR_CODE,DLVR_DSTN_LEGALDONG_CODE,DLVR_DSTN_SIDO,DLVR_DSTN_SIGUNGU,DLVR_DSTN_DONG,DLVR_DSTN_RI,DLVR_DSTN_ADSTRD_CODE,DLVR_DSTN_RDNMADR_CODE,DLVR_MAN_ID,DLVR_AMOUNT,CALL_RLAY_FEE_AMOUNT,GOODS_AMOUNT,SETLE_KND_VALUE,SETLE_CARD_CN,DLVR_RCEPT_TIME,DLVR_CARALC_TIME,DLVR_COMPT_TIME,DLVR_CANCL_TIME
869945,5606989,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010700.0,서울특별시,서초구,반포동,,1165058100.0,116504163132.0,D0008385,3500,200,11700,1,승인:신한카드,2020-02-02 14:39:57,2020-02-02 14:40:24,2020-02-02 14:48:32,
870052,5607121,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010800.0,서울특별시,서초구,서초동,,1165053000.0,116504163068.0,D0008385,3500,200,15600,2,,2020-02-02 14:49:28,2020-02-02 14:50:07,2020-02-02 15:04:09,
870437,5607571,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010800.0,서울특별시,서초구,서초동,,1165053000.0,116504163243.0,D0008385,3500,200,11700,2,,2020-02-02 14:57:33,2020-02-02 14:58:08,2020-02-02 15:04:02,
870546,5607697,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062000.0,116503121021.0,D0008385,3500,200,14100,2,,2020-02-02 14:26:39,2020-02-02 14:27:14,2020-02-02 14:35:46,
871567,5608880,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062000.0,116503121010.0,D0008385,3000,200,12600,2,승인:,2020-02-02 15:31:52,2020-02-02 15:32:11,2020-02-02 15:38:37,
872145,5609542,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010800.0,서울특별시,서초구,서초동,,1165053000.0,116504163647.0,D0008385,4000,200,12600,2,,2020-02-02 15:24:58,2020-02-02 15:25:21,2020-02-02 15:38:40,
873749,5611417,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010800.0,서울특별시,서초구,서초동,,1165053000.0,116504163300.0,D0008385,3500,200,16200,2,,2020-02-02 16:26:26,2020-02-02 16:28:42,2020-02-02 16:35:56,
874388,5612159,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165059000.0,116504163272.0,D0008385,3500,200,12600,1,승인:비씨카드사,2020-02-02 16:36:20,2020-02-02 16:36:51,2020-02-02 16:46:55,
874490,5612282,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062000.0,116504163062.0,D0008385,3000,200,11500,2,,2020-02-02 16:55:51,2020-02-02 16:56:37,2020-02-02 17:12:34,
874884,5612738,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163626.0,D0008385,3000,200,12800,2,,2020-02-02 16:37:00,2020-02-02 16:37:28,2020-02-02 16:46:57,
875825,5613836,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116503121011.0,D0008385,3000,200,25900,2,,2020-02-02 17:13:30,2020-02-02 17:13:54,2020-02-02 17:26:01,
880637,5619474,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163394.0,D0006552,3000,300,14900,2,,2020-02-02 18:25:20,2020-02-02 18:25:54,2020-02-02 18:33:53,
881199,5620149,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062100.0,116503121010.0,D0006552,3000,300,13300,2,,2020-02-02 18:10:14,2020-02-02 18:11:01,2020-02-02 18:16:32,
882140,5621280,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062000.0,116503121010.0,D0006552,3000,300,13500,2,,2020-02-02 18:55:14,2020-02-02 18:55:43,2020-02-02 19:04:22,
883216,5622565,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010800.0,서울특별시,서초구,서초동,,1165053000.0,116504163192.0,D0006552,3000,300,23100,1,승인:롯데카드사,2020-02-02 18:48:21,2020-02-02 18:48:48,2020-02-02 19:04:24,
883423,5622801,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062000.0,116504163635.0,D0006552,3000,300,11200,1,승인:신한카드,2020-02-02 18:41:04,2020-02-02 18:42:47,2020-02-02 19:04:25,
883759,5623187,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010700.0,서울특별시,서초구,반포동,,1165058100.0,116504163132.0,D0006552,3500,300,23300,1,승인:하나카드,2020-02-02 18:33:31,2020-02-02 18:34:30,2020-02-02 18:40:39,
886212,5626087,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163632.0,D0006552,3000,300,16400,2,,2020-02-02 19:42:13,2020-02-02 19:42:48,2020-02-02 19:52:18,
887120,5627145,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1162010300.0,서울특별시,관악구,남현동,,1162063000.0,116204160478.0,D0006552,4000,300,14900,2,,2020-02-02 19:46:55,2020-02-02 19:47:17,2020-02-02 19:52:17,
887545,5627644,2020-02-02,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165059000.0,116504163139.0,D0006552,4000,300,11900,2,,2020-02-02 19:31:07,2020-02-02 19:32:41,2020-02-02 19:41:56,
890638,5631335,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062100.0,116504163115.0,D0008385,3000,200,13900,2,,2020-02-02 20:58:35,2020-02-02 20:59:40,2020-02-02 21:12:21,
891590,5632455,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062000.0,116504163619.0,D0008385,3000,200,12200,2,,2020-02-02 20:27:38,2020-02-02 20:29:37,2020-02-02 20:35:48,
892556,5633577,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163259.0,D0008385,3000,200,14400,2,,2020-02-02 21:18:37,2020-02-02 21:25:47,2020-02-02 21:40:03,
892917,5634000,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163251.0,D0008385,3000,200,14300,2,,2020-02-02 22:01:58,2020-02-02 22:02:48,2020-02-02 22:17:03,
892993,5634087,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163254.0,D0008385,3000,200,20200,2,,2020-02-02 21:19:40,2020-02-02 21:25:49,2020-02-02 21:40:01,
894024,5635269,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062100.0,116502121002.0,D0008385,3500,200,12500,2,,2020-02-02 21:23:12,2020-02-02 21:25:51,2020-02-02 21:39:58,
894293,5635579,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062100.0,116504163115.0,D0008385,3000,200,12000,2,,2020-02-02 22:01:22,2020-02-02 22:02:45,2020-02-02 22:17:06,
894546,5635886,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163259.0,D0008385,3000,200,15600,2,,2020-02-02 23:34:31,2020-02-02 23:34:48,2020-02-02 23:41:15,
894714,5636073,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062100.0,116504163267.0,D0008385,3500,200,19200,2,,2020-02-02 23:02:16,2020-02-02 23:03:19,2020-02-02 23:13:13,
894804,5636180,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163257.0,D0008385,3000,200,28800,2,,2020-02-02 22:19:31,2020-02-02 22:20:47,2020-02-02 22:33:15,
895625,5637143,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163386.0,D0008385,3000,200,12400,2,,2020-02-02 23:13:34,2020-02-02 23:13:54,2020-02-02 23:29:58,
895761,5637305,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,,D0008385,3000,200,11300,2,,2020-02-02 23:17:02,2020-02-02 23:17:25,2020-02-02 23:29:55,
896156,5637778,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062000.0,116504163634.0,D0008385,3000,200,13200,2,,2020-02-02 23:13:58,2020-02-02 23:14:26,2020-02-02 23:29:57,
896553,5638241,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062000.0,116504163282.0,D0008385,3000,200,11300,2,,2020-02-02 23:17:58,2020-02-02 23:18:17,2020-02-02 23:29:53,
896587,5638279,2020-02-02,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165059000.0,116504163128.0,D0008385,4000,200,26400,2,,2020-02-02 23:58:57,2020-02-03 00:00:00,2020-02-03 00:10:48,
897035,5638784,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010700.0,서울특별시,서초구,반포동,,1165058100.0,116504163323.0,D0008385,4500,200,17900,2,,2020-02-03 00:59:42,2020-02-03 01:15:30,2020-02-03 01:37:04,
897234,5639020,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062100.0,116502121002.0,D0008385,3500,200,21000,2,,2020-02-03 11:16:38,2020-02-03 11:31:01,2020-02-03 11:42:50,
897268,5639057,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165061000.0,116504163109.0,D0008385,3500,200,13800,1,승인:롯데카드사,2020-02-03 01:47:34,2020-02-03 01:48:43,2020-02-03 01:54:10,
897321,5639120,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1162010300.0,서울특별시,관악구,남현동,,1162063000.0,116204160474.0,D0008385,4500,200,17900,2,,2020-02-03 00:39:18,2020-02-03 00:59:14,2020-02-03 01:11:16,
897407,5639222,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062100.0,116504163286.0,D0008385,3500,200,11000,2,,2020-02-03 04:18:44,2020-02-03 04:20:03,2020-02-03 04:38:07,
897491,5639317,2020-02-03,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163403.0,D0006552,3500,300,11500,2,,2020-02-03 05:23:30,2020-02-03 05:33:05,2020-02-03 05:47:02,
897512,5639340,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165061000.0,116502000004.0,D0008385,4500,200,11500,2,,2020-02-03 05:09:35,2020-02-03 05:11:21,2020-02-03 05:18:08,
897565,5639402,2020-02-03,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165061000.0,116504163574.0,D0006552,4000,300,12600,3,,2020-02-03 02:41:16,2020-02-03 02:54:19,2020-02-03 02:54:29,
897729,5639593,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062000.0,116504163195.0,D0008385,3500,200,11200,2,,2020-02-03 04:51:20,2020-02-03 04:51:33,2020-02-03 05:18:11,
897806,5639685,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1162010300.0,서울특별시,관악구,남현동,,1162063000.0,116204160293.0,D0008385,4500,200,14400,2,,2020-02-03 02:22:10,2020-02-03 02:22:37,2020-02-03 02:34:31,
897855,5639740,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010700.0,서울특별시,서초구,반포동,,1165058100.0,116504163329.0,D0008385,4000,200,11600,2,,2020-02-03 08:51:32,2020-02-03 08:57:06,2020-02-03 09:05:58,
897962,5639863,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010800.0,서울특별시,서초구,서초동,,1165053000.0,116504163185.0,D0008385,3500,200,12500,2,,2020-02-03 04:16:01,2020-02-03 04:20:01,2020-02-03 04:38:09,
898068,5639984,2020-02-03,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165061000.0,116504163617.0,D0006552,3500,300,15600,2,,2020-02-03 03:48:30,2020-02-03 03:51:03,2020-02-03 03:56:31,
898153,5640088,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165059000.0,116504163278.0,D0008385,4500,200,14300,2,,2020-02-03 03:43:29,2020-02-03 03:43:44,2020-02-03 03:53:51,
898173,5640108,2020-02-03,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1162010300.0,서울특별시,관악구,남현동,,1162063000.0,116204160474.0,D0006552,4000,300,17300,2,,2020-02-03 08:23:55,2020-02-03 08:25:23,2020-02-03 08:49:49,
898324,5640272,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165061000.0,116504163571.0,D0008385,4000,200,14700,2,,2020-02-03 03:03:42,2020-02-03 03:07:08,2020-02-03 03:13:37,
898357,5640312,2020-02-03,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163632.0,D0006552,3500,300,12000,2,,2020-02-03 05:21:38,2020-02-03 05:33:04,2020-02-03 05:46:53,
898374,5640334,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165059000.0,116503121010.0,D0008385,4500,200,11600,2,,2020-02-03 02:45:00,2020-02-03 02:45:36,2020-02-03 02:53:02,
898479,5640454,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165059000.0,116503121011.0,D0008385,4500,200,12400,2,,2020-02-03 04:10:43,2020-02-03 04:19:58,2020-02-03 04:38:12,
898658,5640664,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062000.0,116504163274.0,D0008385,3500,200,16100,2,,2020-02-03 01:27:35,2020-02-03 01:29:04,2020-02-03 01:43:35,
898710,5640725,2020-02-03,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165059000.0,116504163118.0,D0006552,4000,300,18100,2,,2020-02-03 05:31:53,2020-02-03 05:33:05,2020-02-03 05:47:00,
898807,5640836,2020-02-03,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165061000.0,116504163288.0,D0006552,3000,300,13900,2,,2020-02-03 06:40:15,2020-02-03 06:50:53,2020-02-03 06:58:53,
899050,5641114,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165059000.0,116503121010.0,D0008385,4000,200,23900,2,,2020-02-03 12:06:12,2020-02-03 12:06:41,2020-02-03 12:24:32,
899145,5641221,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165061000.0,116504163567.0,D0008385,3500,200,13200,2,,2020-02-03 12:14:54,2020-02-03 12:15:12,2020-02-03 12:24:30,
900273,5642523,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165060000.0,116504163250.0,D0008385,3000,200,20200,2,,2020-02-03 11:49:20,2020-02-03 11:49:38,2020-02-03 11:56:22,
901913,5644483,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010100.0,서울특별시,서초구,방배동,,1165062000.0,116504163634.0,D0008385,3000,200,41300,1,승인:비씨카드사,2020-02-03 13:47:27,2020-02-03 13:48:31,2020-02-03 14:04:31,
902864,5645614,2020-02-03,C000332,1,C000332,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010700.0,서울특별시,서초구,반포동,,1165058100.0,116504163126.0,D0008385,3500,200,21400,2,,2020-02-03 13:18:43,2020-02-03 13:19:09,2020-02-03 13:24:09,
903040,5645817,2020-02-03,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1165010700.0,서울특별시,서초구,반포동,,1165058100.0,116504163131.0,D0006835,3500,300,18900,2,,2020-02-03 14:29:15,2020-02-03 14:29:33,2020-02-03 14:36:45,
903522,5646400,2020-02-03,C000332,1,C000295,S0019822,패스트푸드,1165010100,서울특별시,서초구,방배동,,1165060000,116503121010.0,1159010700.0,서울특별시,동작구,사당동,,1159063000.0,115902005009.0,D0006835,3500,300,27700,2,,2020-02-03 15:41:55,2020-02-03 15:42:11,2020-02-03 15:53:57,
