,기준월,대분류,중분류,나이,성별,시도명,시군구명,성장지수
1040,201901,식품,빵류,20,M,서울,금천구,175.31499525725246
1042,201901,식품,빵류,20,M,서울,동작구,96.44669735851959
1044,201901,식품,빵류,20,all,서울,관악구,101.01581630866757
1052,201901,식품,신선식품,20,F,서울,구로구,134.53983334153904
1056,201901,식품,신선식품,20,F,서울,양천구,127.9711501010957
1062,201901,식품,신선식품,20,M,서울,동작구,4.478138541845715
1068,201901,식품,신선식품,20,all,서울,금천구,254.8183490797101
1070,201901,식품,신선식품,20,all,서울,양천구,130.6176557645174
1073,201901,식품,유제품류,20,F,서울,관악구,118.984767726779
1074,201901,식품,유제품류,20,F,서울,금천구,232.6710003734649
1082,201901,식품,유제품류,20,M,서울,동작구,50.22259461341008
1083,201901,식품,유제품류,20,M,서울,양천구,131.51237820221422
1084,201901,식품,유제품류,20,M,서울,영등포구,91.60197688705021
1087,201901,식품,유제품류,20,all,서울,구로구,105.98904249174794
1092,201901,식품,음료,20,F,서울,금천구,178.72133151404515
1094,201901,식품,음료,20,F,서울,양천구,103.91992438089106
1095,201901,식품,음료,20,F,서울,영등포구,108.04986454732138
1099,201901,식품,음료,20,M,서울,금천구,160.6197732174507
1103,201901,식품,음료,20,M,서울,양천구,74.52986798846437
1106,201901,식품,음료,20,all,서울,강서구,104.89069331731214
1107,201901,식품,음료,20,all,서울,구로구,95.29875743405088
1108,201901,식품,음료,20,all,서울,금천구,171.44015584228816
1112,201901,식품,음료,20,all,서울,영등포구,99.64701613559065
1115,201901,식품,제과류,20,F,서울,관악구,103.54023943825511
1116,201901,식품,제과류,20,F,서울,금천구,259.19092011031967
1118,201901,식품,제과류,20,F,서울,동작구,61.976272263895005
1120,201901,식품,제과류,20,M,서울,강서구,117.89592750605577
1121,201901,식품,제과류,20,M,서울,금천구,227.2381190586193
1125,201901,식품,제과류,20,all,서울,강서구,113.62317220166719
1126,201901,식품,제과류,20,all,서울,금천구,247.6604418130296
1128,201901,식품,제과류,20,all,서울,동작구,65.14196460719484
1132,201901,식품,주류,20,F,서울,강서구,113.59654490717459
1136,201901,식품,주류,20,F,서울,양천구,125.07432727768486
1137,201901,식품,주류,20,F,서울,영등포구,98.05052650725288
1140,201901,식품,주류,20,M,서울,관악구,104.66754163013948
1142,201901,식품,주류,20,M,서울,구로구,75.77142104854528
1158,201901,일용품,생활용품,20,M,서울,강서구,106.15919522515013
1159,201901,일용품,생활용품,20,M,서울,금천구,161.0032709951464
1171,201901,일용품,생활용품,20,all,서울,강서구,106.12550979211798
1175,201901,일용품,애완동물용품,20,F,서울,강서구,90.82664408032306
1186,201901,일용품,애완동물용품,20,all,서울,영등포구,77.88517719646
1192,201901,화장품,바디/헤어용품,20,F,서울,구로구,78.81921524075182
1197,201901,화장품,바디/헤어용품,20,M,서울,강서구,125.88022690596468
1201,201901,화장품,바디/헤어용품,20,M,서울,양천구,139.70819004373809
1204,201901,화장품,바디/헤어용품,20,all,서울,관악구,90.31038501348301
1206,201901,화장품,바디/헤어용품,20,all,서울,영등포구,106.20013353574323
1210,201901,화장품,뷰티소품,20,F,서울,양천구,76.89713322091063
1213,201901,화장품,뷰티소품,20,M,서울,구로구,77.35085945399393
1230,201901,화장품,화장품,20,M,서울,강서구,109.01939737317413
1233,201901,화장품,화장품,20,M,서울,동작구,302.92221155165316
1238,201901,화장품,화장품,20,all,서울,관악구,188.10649606854957
1239,201901,화장품,화장품,20,all,서울,동작구,162.68681019164194
1242,201901,건강/의료용품,건강관리용품,30,F,서울,강서구,102.94765621137836
1252,201901,건강/의료용품,건강관리용품,30,M,서울,영등포구,91.53644021243568
1255,201901,건강/의료용품,건강관리용품,30,all,서울,강서구,106.89362149022513
1256,201901,건강/의료용품,건강관리용품,30,all,서울,관악구,70.83147075578421
1258,201901,건강/의료용품,건강관리용품,30,all,서울,동작구,72.64304039540224
1264,201901,식품,가공식품,30,F,서울,금천구,158.29602852534327
1277,201901,식품,가공식품,30,all,서울,강서구,105.52596683708386
1279,201901,식품,가공식품,30,all,서울,영등포구,126.11884705087485
1281,201901,식품,기호식품,30,F,서울,구로구,114.74349250979802
1282,201901,식품,기호식품,30,F,서울,금천구,134.17811402383506
1289,201901,식품,기호식품,30,M,서울,구로구,121.62988936407729
1296,201901,식품,기호식품,30,all,서울,관악구,92.17020363353085
1303,201901,식품,담배,30,M,서울,강서구,145.47428852950196
1306,201901,식품,담배,30,M,서울,영등포구,139.11102681686094
1311,201901,식품,담배,30,all,서울,강서구,147.7263149557205
1313,201901,식품,담배,30,all,서울,금천구,166.7442258935245
1317,201901,식품,빙과류,30,F,서울,동작구,58.84901606581296
1319,201901,식품,빙과류,30,F,서울,영등포구,73.03961245817584
1321,201901,식품,빙과류,30,M,서울,관악구,60.900949479580774
1328,201901,식품,빙과류,30,all,서울,강서구,68.93338772768583
1329,201901,식품,빙과류,30,all,서울,관악구,58.690758290778895
1330,201901,식품,빙과류,30,all,서울,구로구,71.82721007823817
1334,201901,식품,빵류,30,F,서울,구로구,95.04690610552817
1336,201901,식품,빵류,30,F,서울,양천구,92.81429511668283
1337,201901,식품,빵류,30,F,서울,영등포구,98.04687317438349
1342,201901,식품,빵류,30,M,서울,구로구,126.03813964839331
1345,201901,식품,빵류,30,all,서울,관악구,110.13446691028466
1348,201901,식품,빵류,30,all,서울,동작구,77.93312388950612
1351,201901,식품,빵류,30,all,서울,양천구,93.01562420117409
1352,201901,식품,빵류,30,all,서울,영등포구,98.02254005446548
1360,201901,식품,신선식품,30,M,서울,강서구,119.49295218263838
1361,201901,식품,신선식품,30,M,서울,구로구,116.75606736746442
1363,201901,식품,신선식품,30,M,서울,동작구,21.17597878768977
1372,201901,식품,신선식품,30,all,서울,동작구,8.23143579523325
1374,201901,식품,신선식품,30,all,서울,영등포구,113.15099186460716
1383,201901,식품,유제품류,30,M,서울,강서구,104.65019198775845
1384,201901,식품,유제품류,30,M,서울,금천구,138.20759063414272
1387,201901,식품,유제품류,30,M,서울,양천구,98.30562644916634
1390,201901,식품,유제품류,30,all,서울,강서구,102.16425692366155
1393,201901,식품,유제품류,30,all,서울,동작구,45.07699878593571
1399,201901,식품,음료,30,F,서울,금천구,124.43640451904459
1402,201901,식품,음료,30,F,서울,양천구,92.29779664741564
1404,201901,식품,음료,30,M,서울,구로구,88.03484651891169
1409,201901,식품,음료,30,all,서울,강서구,95.54350613934342
1411,201901,식품,음료,30,all,서울,영등포구,143.25416740047572
1416,201901,식품,제과류,30,F,서울,강서구,98.56734772868357
1420,201901,식품,제과류,30,F,서울,영등포구,91.57709305060169
1423,201901,식품,제과류,30,M,서울,강서구,94.39538200056991
1424,201901,식품,제과류,30,M,서울,관악구,79.08543409457431
1426,201901,식품,제과류,30,M,서울,구로구,94.11625459518193
1427,201901,식품,제과류,30,M,서울,금천구,142.0701068413601
1429,201901,식품,제과류,30,M,서울,동작구,47.69785819529
1436,201901,식품,제과류,30,all,서울,강서구,97.42418406384941
1437,201901,식품,제과류,30,all,서울,구로구,96.4999637011988
1442,201901,식품,주류,30,F,서울,관악구,98.76534140667756
1447,201901,식품,주류,30,F,서울,영등포구,100.40305274344051
1451,201901,식품,주류,30,M,서울,구로구,119.09197165873353
1457,201901,식품,주류,30,all,서울,강서구,101.86838744454887
1459,201901,식품,주류,30,all,서울,동작구,61.6762300746585
1462,201901,식품,주류,30,all,서울,영등포구,97.23244660143764
1468,201901,일용품,생활용품,30,M,서울,강서구,90.628496486213
1469,201901,일용품,생활용품,30,M,서울,관악구,158.16434716369776
1470,201901,일용품,생활용품,30,M,서울,구로구,99.16840118128326
1477,201901,일용품,생활용품,30,all,서울,금천구,141.3171724924671
1479,201901,일용품,생활용품,30,all,서울,영등포구,81.76451603487021
1482,201901,일용품,애완동물용품,30,F,서울,강서구,87.29999011760454
1483,201901,일용품,애완동물용품,30,F,서울,관악구,87.92629519870806
1487,201901,일용품,애완동물용품,30,F,서울,동작구,24.97204026202269
1494,201901,일용품,애완동물용품,30,all,서울,구로구,74.808306461189
1503,201901,화장품,바디/헤어용품,30,F,서울,관악구,70.97120314989874
1504,201901,화장품,바디/헤어용품,30,F,서울,구로구,81.88094806542276
1507,201901,화장품,바디/헤어용품,30,M,서울,강서구,120.6151508642684
1508,201901,화장품,바디/헤어용품,30,M,서울,동작구,130.1530262929733
1515,201901,화장품,바디/헤어용품,30,all,서울,금천구,118.6890998441712
1516,201901,화장품,바디/헤어용품,30,all,서울,동작구,72.944820153798
1523,201901,화장품,뷰티소품,30,F,서울,관악구,86.68174093788186
1525,201901,화장품,뷰티소품,30,F,서울,동작구,106.73177053201584
1532,201901,화장품,뷰티소품,30,M,서울,영등포구,34.85856665602698
1534,201901,화장품,뷰티소품,30,all,서울,강서구,51.65403166552741
1535,201901,화장품,뷰티소품,30,all,서울,구로구,64.41542824791837
1536,201901,화장품,뷰티소품,30,all,서울,금천구,64.20521698014593
1541,201901,화장품,화장품,30,F,서울,구로구,87.73479585744957
1550,201901,화장품,화장품,30,M,서울,양천구,89.90800756504655
1553,201901,화장품,화장품,30,all,서울,강서구,108.85679205844912
1555,201901,화장품,화장품,30,all,서울,금천구,145.2241169306476
1564,201901,건강/의료용품,건강관리용품,30,F,서울,구로구,54.040172451809866
1569,201901,건강/의료용품,건강관리용품,30,F,서울,영등포구,75.96831961526753
1574,201901,건강/의료용품,건강관리용품,30,M,서울,관악구,77.65067561160107
1575,201901,건강/의료용품,건강관리용품,30,M,서울,구로구,99.48598016022787
