,기간,업종대분류,업종소분류,연령,성별,시도,시군구,소비지수
273,201901,화장품,기타화장품,20,M,서울,송파구,21.428571428571427
289,201901,화장품,바디/헤어용품,20,all,서울,서초구,292.4093048100825
295,201901,화장품,뷰티소품,20,F,서울,서초구,78.24892296924563
300,201901,화장품,뷰티소품,20,M,서울,강남구,133.71914447316178
307,201901,화장품,화장품,20,F,서울,강남구,71.79395938236816
308,201901,화장품,화장품,20,F,서울,강동구,81.70334678994661
313,201901,화장품,화장품,20,F,서울,서초구,110.29254425792328
315,201901,화장품,화장품,20,F,서울,송파구,90.48781688870254
323,201901,화장품,화장품,20,all,서울,강동구,62.558812727908965
327,201901,화장품,화장품,20,all,서울,서초구,106.97941657203545
331,201901,건강/의료용품,건강관리용품,20,F,서울,강남구,86.38165849634912
340,201901,건강/의료용품,건강관리용품,20,M,서울,서초구,154.19375610748034
345,201901,건강/의료용품,건강관리용품,20,all,서울,강남구,88.06930877175583
375,201901,식품,기호식품,20,all,서울,서초구,90.53430880241709
377,201901,식품,기호식품,20,all,서울,송파구,104.5805047746788
379,201901,식품,담배,20,F,서울,강동구,147.21531100478467
387,201901,식품,담배,20,M,서울,강남구,120.21998258486636
388,201901,식품,담배,20,M,서울,강동구,151.82021659925124
396,201901,식품,빙과류,20,M,서울,강동구,65.66851816926344
400,201901,식품,빙과류,20,M,서울,서초구,83.48970909944212
408,201901,식품,빙과류,20,all,서울,송파구,81.92716890115437
413,201901,식품,빵류,20,F,서울,강남구,110.27985033952
414,201901,식품,빵류,20,F,서울,강동구,123.08162917925131
423,201901,식품,빵류,20,M,서울,서초구,135.28570481208982
434,201901,식품,신선식품,20,F,서울,강동구,138.29075296706844
439,201901,식품,신선식품,20,M,서울,강동구,140.7862773259069
444,201901,식품,신선식품,20,M,서울,송파구,118.17357400718382
447,201901,식품,신선식품,20,all,서울,강남구,122.87572418317086
455,201901,식품,신선식품,20,all,서울,서초구,151.11771033566055
462,201901,식품,유제품류,20,F,서울,서초구,104.30003406954252
465,201901,식품,유제품류,20,M,서울,강동구,111.94324229131092
469,201901,식품,유제품류,20,all,서울,강남구,98.07787450809748
475,201901,식품,음료,20,F,서울,강동구,88.6447896959397
479,201901,식품,음료,20,F,서울,송파구,109.4397526826568
488,201901,식품,음료,20,all,서울,강남구,95.18065744713523
494,201901,식품,제과류,20,F,서울,강동구,112.08473331798626
504,201901,식품,제과류,20,M,서울,송파구,105.94430501091074
514,201901,식품,주류,20,F,서울,강동구,123.94221663227181
519,201901,식품,주류,20,M,서울,강남구,92.3908306373567
523,201901,식품,주류,20,M,서울,서초구,140.88270873574254
541,201901,일용품,생활용품,20,M,서울,강남구,97.15255059653505
542,201901,일용품,생활용품,20,M,서울,강동구,98.2605249304903
551,201901,일용품,생활용품,20,all,서울,서초구,102.28946407252468
559,201901,일용품,애완동물용품,20,F,서울,서초구,106.06461904513505
573,201901,화장품,바디/헤어용품,20,F,서울,강동구,44.287312924644745
577,201901,화장품,바디/헤어용품,20,F,서울,서초구,385.995446105406
581,201901,화장품,바디/헤어용품,20,M,서울,강동구,92.40534387793586
585,201901,화장품,바디/헤어용품,20,M,서울,서초구,96.67388408779587
588,201901,화장품,바디/헤어용품,20,all,서울,강남구,203.68308832979298
591,201901,화장품,뷰티소품,20,F,서울,강남구,102.19458796099691
592,201901,화장품,뷰티소품,20,F,서울,강동구,142.64204770584038
599,201901,화장품,뷰티소품,20,M,서울,송파구,131.08046869942382
608,201901,화장품,뷰티소품,20,all,서울,송파구,87.94058793010454
616,201901,화장품,화장품,20,M,서울,송파구,107.10698598315004
625,201901,화장품,화장품,20,all,서울,송파구,92.56083859383574
629,201901,건강/의료용품,건강관리용품,20,F,서울,강동구,45.728022785620496
630,201901,건강/의료용품,건강관리용품,20,F,서울,서초구,71.64909894593677
632,201901,건강/의료용품,건강관리용품,20,F,서울,송파구,92.59960971864551
638,201901,건강/의료용품,건강관리용품,20,all,서울,강동구,76.67946885832345
642,201901,건강/의료용품,건강관리용품,20,all,서울,서초구,110.81638615183806
646,201901,식품,가공식품,20,F,서울,강남구,114.39721308336796
647,201901,식품,가공식품,20,F,서울,강동구,116.08490619818859
652,201901,식품,가공식품,20,M,서울,강동구,120.35606045989992
655,201901,식품,가공식품,20,M,서울,서초구,115.00861074747893
657,201901,식품,가공식품,20,M,서울,송파구,129.79201468735195
659,201901,식품,가공식품,20,all,서울,강동구,117.3275815072442
667,201901,식품,기호식품,20,F,서울,강동구,128.9979938216895
675,201901,식품,기호식품,20,M,서울,서초구,92.970330330486
676,201901,식품,기호식품,20,M,서울,송파구,97.096517642113
679,201901,식품,기호식품,20,all,서울,강남구,124.72306052096384
680,201901,식품,기호식품,20,all,서울,강동구,113.41891370292922
690,201901,식품,담배,20,M,서울,서초구,218.50346585883347
691,201901,식품,담배,20,M,서울,송파구,120.11300269412916
693,201901,식품,담배,20,all,서울,강동구,149.7192069027621
700,201901,식품,담배,20,all,서울,송파구,118.74542588329918
702,201901,식품,빙과류,20,F,서울,강동구,68.83559965243997
713,201901,식품,빙과류,20,all,서울,강남구,69.45784055514589
714,201901,식품,빙과류,20,all,서울,강동구,67.79653235955436
723,201901,식품,빵류,20,F,서울,서초구,123.65714601689731
724,201901,식품,빵류,20,F,서울,송파구,114.44435916887484
727,201901,식품,빵류,20,M,서울,강남구,111.53825654990223
735,201901,식품,빵류,20,all,서울,서초구,127.65757274384808
739,201901,식품,신선식품,20,F,서울,강남구,113.87949639939924
741,201901,식품,신선식품,20,F,서울,서초구,148.43735066149085
742,201901,식품,신선식품,20,F,서울,송파구,124.83451204984881
745,201901,식품,신선식품,20,M,서울,서초구,159.4483039142766
757,201901,식품,유제품류,20,all,서울,강동구,103.55584446112243
762,201901,식품,유제품류,20,all,서울,서초구,107.33966342922713
770,201901,식품,음료,20,F,서울,서초구,103.41388903176428
772,201901,식품,음료,20,M,서울,강동구,131.84625252673789
775,201901,식품,음료,20,M,서울,서초구,111.7875965276452
779,201901,식품,음료,20,all,서울,강동구,105.45608889457556
792,201901,식품,제과류,20,M,서울,강동구,92.15677114962395
797,201901,식품,제과류,20,all,서울,강남구,102.50509168698936
798,201901,식품,제과류,20,all,서울,강동구,106.41115210066013
801,201901,식품,제과류,20,all,서울,서초구,110.30304742746364
803,201901,식품,주류,20,F,서울,강남구,112.41147664065548
812,201901,식품,주류,20,M,서울,송파구,110.49319791722841
817,201901,식품,주류,20,all,서울,서초구,138.7851134365292
822,201901,일용품,생활용품,20,F,서울,서초구,107.00291448659651
823,201901,일용품,생활용품,20,F,서울,송파구,104.8625136702752
832,201901,일용품,생활용품,20,all,서울,송파구,105.56580049010654
835,201901,일용품,애완동물용품,20,F,서울,송파구,76.98604976344434
843,201901,일용품,애완동물용품,20,all,서울,강남구,53.176985693232155
851,201901,일용품,애완동물용품,20,all,서울,서초구,100.49566676847122
852,201901,일용품,애완동물용품,20,all,서울,송파구,75.47356057172837
855,201901,화장품,기타화장품,20,F,서울,송파구,58.278145695364245
857,201901,화장품,기타화장품,20,all,서울,송파구,54.223968565815326
861,201901,화장품,바디/헤어용품,20,F,서울,송파구,93.51399124678973
879,201901,화장품,바디/헤어용품,20,all,서울,송파구,99.18473349878063
887,201901,화장품,뷰티소품,20,F,서울,송파구,82.08289053291823
907,201901,화장품,화장품,20,M,서울,강남구,96.04050507638884
908,201901,화장품,화장품,20,M,서울,강동구,37.20999738483954
912,201901,화장품,화장품,20,M,서울,서초구,91.63837691513292
915,201901,화장품,화장품,20,all,서울,강남구,79.82352931135512
927,201901,건강/의료용품,건강관리용품,20,M,서울,강남구,89.7298659936117
934,201901,건강/의료용품,건강관리용품,20,all,서울,송파구,87.34684252485512
938,201901,식품,가공식품,20,F,서울,서초구,117.37715955454664
941,201901,식품,가공식품,20,F,서울,송파구,115.77868631838837
955,201901,식품,가공식품,20,all,서울,서초구,116.70409571309642
957,201901,식품,가공식품,20,all,서울,송파구,119.47420180602812
967,201901,식품,기호식품,20,F,서울,송파구,106.88797586590664
969,201901,식품,기호식품,20,M,서울,강동구,81.1070026702068
988,201901,식품,담배,20,F,서울,서초구,133.83220607281623
1004,201901,식품,담배,20,all,서울,강남구,127.65796004163543
1014,201901,식품,빙과류,20,F,서울,서초구,77.0367903715905
1016,201901,식품,빙과류,20,F,서울,송파구,82.8339400897013
1021,201901,식품,빙과류,20,M,서울,송파구,79.36508666160175
1035,201901,식품,빵류,20,M,서울,강동구,97.78504722034187
1059,201901,식품,신선식품,20,M,서울,강남구,160.67241751190193
1066,201901,식품,신선식품,20,all,서울,강동구,139.1051460038652
1072,201901,식품,유제품류,20,F,서울,강동구,99.87211929507455
1080,201901,식품,유제품류,20,M,서울,강남구,95.58279896557389
1097,201901,식품,음료,20,M,서울,강남구,81.95200270207711
1102,201901,식품,음료,20,M,서울,송파구,97.8605529135967
1129,201901,식품,제과류,20,all,서울,송파구,107.17025083444612
1134,201901,식품,주류,20,F,서울,서초구,137.5735377305125
1135,201901,식품,주류,20,F,서울,송파구,116.1162867963988
1147,201901,식품,주류,20,all,서울,강남구,105.082328719228
1148,201901,식품,주류,20,all,서울,송파구,114.420188287183
1152,201901,일용품,생활용품,20,F,서울,강동구,95.9970239393422
1162,201901,일용품,생활용품,20,M,서울,서초구,87.84119659877966
1164,201901,일용품,생활용품,20,M,서울,송파구,107.65311910766295
1168,201901,일용품,생활용품,20,all,서울,강남구,91.66584141134581
1169,201901,일용품,생활용품,20,all,서울,강동구,96.76404709162615
1191,201901,화장품,바디/헤어용품,20,F,서울,강남구,243.39579568630958
1196,201901,화장품,바디/헤어용품,20,M,서울,강남구,101.84629792886871
1200,201901,화장품,바디/헤어용품,20,M,서울,송파구,112.46640769885371
1203,201901,화장품,바디/헤어용품,20,all,서울,강동구,63.56217326040822
1211,201901,화장품,뷰티소품,20,M,서울,강동구,422.5894995035917
1216,201901,화장품,뷰티소품,20,M,서울,서초구,87.83935382544314
1220,201901,화장품,뷰티소품,20,all,서울,강남구,109.3540010647672
1221,201901,화장품,뷰티소품,20,all,서울,강동구,247.9581243855149
1224,201901,화장품,뷰티소품,20,all,서울,서초구,80.16736317168693
1244,201901,건강/의료용품,건강관리용품,30,F,서울,서초구,101.7632991527708
1250,201901,건강/의료용품,건강관리용품,30,M,서울,서초구,74.04971648551377
1254,201901,건강/의료용품,건강관리용품,30,all,서울,강동구,98.19567808126159
1260,201901,건강/의료용품,건강관리용품,30,all,서울,송파구,66.67973949098091
1267,201901,식품,가공식품,30,M,서울,강남구,134.09068812597008
1270,201901,식품,가공식품,30,M,서울,서초구,120.55541259090201
1275,201901,식품,가공식품,30,all,서울,강남구,118.28916450295166
1285,201901,식품,기호식품,30,F,서울,서초구,98.26293948309393
1288,201901,식품,기호식품,30,M,서울,강동구,114.75470975070655
1290,201901,식품,기호식품,30,M,서울,서초구,126.45687204792122
1293,201901,식품,기호식품,30,all,서울,강남구,0.0
1294,201901,식품,기호식품,30,all,서울,강동구,88.3576818338368
1297,201901,식품,담배,30,F,서울,강남구,145.00394844100262
1300,201901,식품,담배,30,F,서울,서초구,136.5726040554198
1301,201901,식품,담배,30,F,서울,송파구,107.90855685259605
1309,201901,식품,담배,30,all,서울,강남구,136.19271641392658
1315,201901,식품,담배,30,all,서울,서초구,136.06940106393756
1324,201901,식품,빙과류,30,M,서울,서초구,66.37591246702661
1332,201901,식품,빵류,30,F,서울,강남구,119.55165612489613
1350,201901,식품,빵류,30,all,서울,서초구,111.30034857930464
1354,201901,식품,신선식품,30,F,서울,강동구,93.71005029972325
1356,201901,식품,신선식품,30,F,서울,서초구,120.6486009807786
1359,201901,식품,신선식품,30,M,서울,강동구,154.03468090315985
1364,201901,식품,신선식품,30,M,서울,서초구,132.07572434619868
1369,201901,식품,신선식품,30,all,서울,강남구,121.37020174554527
1373,201901,식품,신선식품,30,all,서울,송파구,124.68162784068272
1379,201901,식품,유제품류,30,F,서울,송파구,99.70743094957416
1382,201901,식품,유제품류,30,M,서울,강동구,87.25193930120804
1389,201901,식품,유제품류,30,all,서울,강동구,84.4129414091633
1396,201901,식품,음료,30,F,서울,강남구,86.38737681408999
1397,201901,식품,음료,30,F,서울,강동구,75.28632784412079
1407,201901,식품,음료,30,M,서울,송파구,88.24790212527769
1408,201901,식품,음료,30,all,서울,강남구,89.38813425670416
1410,201901,식품,음료,30,all,서울,송파구,90.7045090011038
1413,201901,식품,제과류,30,F,서울,강남구,76.15400013515372
1414,201901,식품,제과류,30,F,서울,강동구,82.21267866381015
1430,201901,식품,제과류,30,M,서울,서초구,102.08945065656198
1433,201901,식품,제과류,30,M,서울,송파구,95.66532022897196
1434,201901,식품,제과류,30,all,서울,강동구,86.47519765440538
1439,201901,식품,제과류,30,all,서울,서초구,105.47395177541357
1440,201901,식품,주류,30,F,서울,강남구,106.29317360477964
1441,201901,식품,주류,30,F,서울,강동구,78.20219457630745
1445,201901,식품,주류,30,F,서울,서초구,100.46215381230049
1461,201901,식품,주류,30,all,서울,서초구,144.1862696498261
1464,201901,일용품,생활용품,30,F,서울,강동구,64.2395559806529
1466,201901,일용품,생활용품,30,F,서울,송파구,94.19802275244612
1474,201901,일용품,생활용품,30,M,서울,송파구,97.5976959502557
1488,201901,일용품,애완동물용품,30,F,서울,서초구,94.31460720915516
1500,201901,화장품,기타화장품,30,F,서울,송파구,19.78021978021978
1501,201901,화장품,기타화장품,30,M,서울,송파구,34.78260869565217
1502,201901,화장품,바디/헤어용품,30,F,서울,강남구,102.28190635934769
1509,201901,화장품,바디/헤어용품,30,M,서울,서초구,120.24996946464987
1512,201901,화장품,바디/헤어용품,30,M,서울,송파구,124.94755844218443
1513,201901,화장품,바디/헤어용품,30,all,서울,강남구,78.69014812868646
1514,201901,화장품,바디/헤어용품,30,all,서울,강동구,41.554187841084975
1518,201901,화장품,바디/헤어용품,30,all,서울,서초구,104.83906669291149
1529,201901,화장품,뷰티소품,30,M,서울,강남구,65.16746118432471
1549,201901,화장품,화장품,30,M,서울,송파구,113.4910432757971
1552,201901,화장품,화장품,30,all,서울,강남구,88.10911234934376
1559,201901,화장품,화장품,30,all,서울,송파구,107.3641508284627
1561,201901,건강/의료용품,건강관리용품,30,F,서울,강남구,93.73083556285671
1568,201901,건강/의료용품,건강관리용품,30,F,서울,송파구,60.03391912612263
1573,201901,건강/의료용품,건강관리용품,30,M,서울,강남구,115.61696676935524
1581,201901,식품,가공식품,30,F,서울,강남구,112.86214977232989
1598,201901,식품,가공식품,30,all,서울,서초구,110.87092360671608
1599,201901,식품,가공식품,30,all,서울,송파구,111.64625884533686
1610,201901,식품,기호식품,30,M,서울,송파구,102.70170417460692
1616,201901,식품,기호식품,30,all,서울,서초구,105.90690385417152
1621,201901,식품,담배,30,F,서울,강동구,123.04065571392306
1644,201901,식품,빙과류,30,M,서울,강남구,54.18897958377921
1645,201901,식품,빙과류,30,M,서울,강동구,87.29853181208956
1649,201901,식품,빙과류,30,M,서울,송파구,78.83661844681968
1652,201901,식품,빙과류,30,all,서울,강동구,69.64836546453442
1656,201901,식품,빙과류,30,all,서울,서초구,65.83566653856775
1664,201901,식품,빵류,30,M,서울,강남구,121.15017244278593
1665,201901,식품,빵류,30,M,서울,강동구,122.73749500062289
1670,201901,식품,빵류,30,M,서울,송파구,105.61235796819712
1673,201901,식품,빵류,30,all,서울,강동구,105.92476761429717
1682,201901,식품,신선식품,30,F,서울,송파구,112.95394193894043
1684,201901,식품,신선식품,30,M,서울,강남구,175.07995979173918
1686,201901,식품,신선식품,30,all,서울,강동구,108.53258162179644
1690,201901,식품,신선식품,30,all,서울,서초구,123.35302924522871
1696,201901,식품,유제품류,30,F,서울,서초구,106.90086702886448
1706,201901,식품,유제품류,30,all,서울,강남구,94.13793924251932
1711,201901,식품,유제품류,30,all,서울,서초구,106.77404097822728
1719,201901,식품,음료,30,M,서울,강동구,96.73292800394104
1720,201901,식품,음료,30,M,서울,서초구,102.59784203892292
1734,201901,식품,제과류,30,M,서울,강남구,77.14248485072909
1740,201901,식품,제과류,30,all,서울,강남구,76.4325172155097
1747,201901,식품,제과류,30,all,서울,송파구,98.47394356162745
1761,201901,식품,주류,30,M,서울,강남구,91.54476632375835
1764,201901,식품,주류,30,M,서울,서초구,234.5059418640107
1768,201901,식품,주류,30,all,서울,강동구,83.7914817519964
1775,201901,식품,주류,30,all,서울,송파구,97.57435041877072
1779,201901,일용품,생활용품,30,F,서울,강남구,84.40662435410418
1787,201901,일용품,생활용품,30,M,서울,강남구,84.55654972612363
1788,201901,일용품,생활용품,30,M,서울,강동구,116.05005357966502
1796,201901,일용품,생활용품,30,all,서울,송파구,95.10449463695707
1802,201901,일용품,애완동물용품,30,F,서울,송파구,84.4533383463945
1806,201901,일용품,애완동물용품,30,M,서울,강남구,75.5434554261983
1807,201901,일용품,애완동물용품,30,M,서울,강동구,173.42778325746747
1810,201901,일용품,애완동물용품,30,M,서울,송파구,76.98531905985753
1822,201901,화장품,바디/헤어용품,30,F,서울,강동구,41.5683510144561
1824,201901,화장품,바디/헤어용품,30,F,서울,서초구,98.04311521693815
1827,201901,화장품,바디/헤어용품,30,M,서울,강남구,53.18283210905891
1828,201901,화장품,바디/헤어용품,30,M,서울,강동구,41.5341069480366
1837,201901,화장품,바디/헤어용품,30,all,서울,송파구,108.73421777866336
1840,201901,화장품,뷰티소품,30,F,서울,강남구,89.27382182021212
1841,201901,화장품,뷰티소품,30,F,서울,강동구,151.22248457612918
1847,201901,화장품,뷰티소품,30,F,서울,서초구,77.4971091700573
1863,201901,화장품,뷰티소품,30,all,서울,강남구,82.80478329933699
1866,201901,화장품,뷰티소품,30,all,서울,송파구,95.28074111312522
1869,201901,화장품,화장품,30,F,서울,송파구,104.55537736290405
1872,201901,화장품,화장품,30,M,서울,강동구,21.70819460852755
1880,201901,화장품,화장품,30,all,서울,서초구,84.73045849615389
1885,201901,건강/의료용품,건강관리용품,30,M,서울,강동구,67.2491530172963
1892,201901,건강/의료용품,건강관리용품,30,M,서울,송파구,77.62266965543759
1895,201901,식품,가공식품,30,F,서울,강동구,87.48873510778691
1900,201901,식품,가공식품,30,F,서울,서초구,107.2692747996398
1907,201901,식품,가공식품,30,all,서울,강동구,100.87441692848131
1911,201901,식품,기호식품,30,F,서울,강남구,103.40194966572149
1918,201901,식품,기호식품,30,M,서울,강남구,0.0
1928,201901,식품,기호식품,30,all,서울,송파구,102.62147915336675
1935,201901,식품,담배,30,M,서울,강남구,131.4633300119467
1940,201901,식품,담배,30,all,서울,강동구,130.80515172094644
1945,201901,식품,빙과류,30,F,서울,강동구,61.509165594336565
1948,201901,식품,빙과류,30,F,서울,서초구,65.58934171249172
1949,201901,식품,빙과류,30,F,서울,송파구,77.68444318873004
1965,201901,식품,빵류,30,F,서울,강동구,92.23313225019464
1969,201901,식품,빵류,30,F,서울,서초구,113.30134416841268
1970,201901,식품,빵류,30,F,서울,송파구,112.49610223432491
1975,201901,식품,빵류,30,M,서울,서초구,107.33326248710188
1981,201901,식품,빵류,30,all,서울,강남구,120.132366754921
2018,201901,식품,유제품류,30,M,서울,서초구,106.41336214920105
2029,201901,식품,음료,30,F,서울,서초구,96.1251642476622
2047,201901,식품,음료,30,all,서울,서초구,98.4017624616028
2057,201901,식품,제과류,30,M,서울,강동구,95.18140810036022
2072,201901,식품,주류,30,M,서울,송파구,90.42053700407448
2073,201901,식품,주류,30,all,서울,강남구,101.51223524998085
2096,201901,일용품,생활용품,30,all,서울,서초구,101.53084057048088
2098,201901,일용품,애완동물용품,30,F,서울,강동구,38.795133437990586
2108,201901,일용품,애완동물용품,30,all,서울,강동구,70.65705166213338
2111,201901,일용품,애완동물용품,30,all,서울,서초구,92.59237866951612
2112,201901,일용품,애완동물용품,30,all,서울,송파구,82.84594450947273
2122,201901,화장품,바디/헤어용품,30,F,서울,송파구,103.15058718178636
2146,201901,화장품,뷰티소품,30,M,서울,강동구,222.1256626401321
2149,201901,화장품,뷰티소품,30,all,서울,강동구,172.82669138090824
2159,201901,화장품,화장품,30,F,서울,강남구,99.7288822908195
2160,201901,화장품,화장품,30,F,서울,강동구,34.08465557237566
2165,201901,화장품,화장품,30,F,서울,서초구,93.01875599461405
2174,201901,화장품,화장품,30,M,서울,서초구,65.18520871472444
2179,201901,건강/의료용품,건강관리용품,30,F,서울,강동구,129.73588689721868
2191,201901,건강/의료용품,건강관리용품,30,all,서울,강남구,104.94710952758129
2197,201901,건강/의료용품,건강관리용품,30,all,서울,서초구,89.54337451081055
2208,201901,식품,가공식품,30,F,서울,송파구,106.75026421865608
2211,201901,식품,가공식품,30,M,서울,강동구,133.05429450053
2218,201901,식품,가공식품,30,M,서울,송파구,124.77345473796836
2226,201901,식품,기호식품,30,F,서울,강동구,75.85408657164166
2234,201901,식품,기호식품,30,F,서울,송파구,102.58443594094729
2258,201901,식품,담배,30,M,서울,강동구,134.65414175918022
2262,201901,식품,담배,30,M,서울,서초구,135.84962363647466
2264,201901,식품,담배,30,M,서울,송파구,114.06751936600222
2271,201901,식품,담배,30,all,서울,송파구,110.897439890169
2276,201901,식품,빙과류,30,F,서울,강남구,66.35349022465586
2291,201901,식품,빙과류,30,all,서울,강남구,62.15308608359374
2296,201901,식품,빙과류,30,all,서울,송파구,78.01090470346631
2309,201901,식품,빵류,30,all,서울,송파구,110.433038547411
2311,201901,식품,신선식품,30,F,서울,강남구,107.27367005294731
2324,201901,식품,신선식품,30,M,서울,송파구,156.9428968549346
2334,201901,식품,유제품류,30,F,서울,강남구,93.46574600116176
2335,201901,식품,유제품류,30,F,서울,강동구,83.26508367729198
2340,201901,식품,유제품류,30,M,서울,강남구,96.05856261099669
2343,201901,식품,유제품류,30,M,서울,송파구,104.26866711682429
2349,201901,식품,유제품류,30,all,서울,송파구,100.89005188268284
2355,201901,식품,음료,30,F,서울,송파구,91.97472883317448
2359,201901,식품,음료,30,M,서울,강남구,93.99423284189794
2369,201901,식품,음료,30,all,서울,강동구,84.65307646875598
2377,201901,식품,제과류,30,F,서울,서초구,106.73073815734199
2378,201901,식품,제과류,30,F,서울,송파구,99.48770574432793
2391,201901,식품,주류,30,F,서울,송파구,101.20554606897608
2392,201901,식품,주류,30,M,서울,강동구,92.8292704263212
2408,201901,일용품,생활용품,30,F,서울,서초구,99.70750191449729
2412,201901,일용품,생활용품,30,M,서울,서초구,106.87092637297098
2414,201901,일용품,생활용품,30,all,서울,강남구,84.44393973689105
2415,201901,일용품,생활용품,30,all,서울,강동구,79.59784127745522
2422,201901,일용품,애완동물용품,30,F,서울,강남구,86.27233209843621
2432,201901,일용품,애완동물용품,30,M,서울,서초구,88.06704619525806
2435,201901,일용품,애완동물용품,30,all,서울,강남구,83.65307884617779
2443,201901,화장품,기타화장품,30,all,서울,송파구,22.807017543859647
2457,201901,화장품,뷰티소품,30,F,서울,송파구,87.17841700338205
2463,201901,화장품,뷰티소품,30,M,서울,서초구,82.52719265940839
2465,201901,화장품,뷰티소품,30,M,서울,송파구,123.23284717481644
2467,201901,화장품,뷰티소품,30,all,서울,서초구,78.62944523252841
2476,201901,화장품,화장품,30,M,서울,강남구,67.52786853914827
2483,201901,화장품,화장품,30,all,서울,강동구,28.66252855276537
2495,201901,건강/의료용품,건강관리용품,40,M,서울,강남구,104.82720477308962
2504,201901,건강/의료용품,건강관리용품,40,all,서울,서초구,92.68598629758549
2513,201901,식품,가공식품,40,F,서울,서초구,111.33722985917669
2517,201901,식품,가공식품,40,M,서울,강남구,126.95590518512735
2522,201901,식품,가공식품,40,M,서울,송파구,115.60170329763756
2526,201901,식품,가공식품,40,all,서울,송파구,113.205358208694
2536,201901,식품,기호식품,40,M,서울,서초구,97.99225500138486
2540,201901,식품,기호식품,40,all,서울,강남구,92.51148379193859
2544,201901,식품,담배,40,F,서울,강남구,141.72357959938626
2545,201901,식품,담배,40,F,서울,강동구,145.30473015626904
2547,201901,식품,담배,40,F,서울,서초구,124.33782465618332
2550,201901,식품,담배,40,M,서울,강동구,140.74438979287137
2553,201901,식품,담배,40,M,서울,서초구,141.85734460683148
2561,201901,식품,빙과류,40,F,서울,강남구,66.46737549485896
2565,201901,식품,빙과류,40,M,서울,강남구,66.60260736506405
2574,201901,식품,빵류,40,F,서울,강남구,125.75181233738708
2575,201901,식품,빵류,40,F,서울,강동구,134.68268490357337
2580,201901,식품,빵류,40,M,서울,서초구,102.29073445334649
2582,201901,식품,빵류,40,all,서울,강남구,126.2178577204064
2616,201901,식품,유제품류,40,M,서울,강남구,103.76966761856752
2622,201901,식품,유제품류,40,all,서울,서초구,107.03510776351551
2624,201901,식품,유제품류,40,all,서울,송파구,99.6975873283328
2632,201901,식품,음료,40,M,서울,강남구,153.88428354506854
2640,201901,식품,음료,40,all,서울,강남구,112.91262902688156
2641,201901,식품,음료,40,all,서울,강동구,96.05476902733744
2649,201901,식품,제과류,40,F,서울,강남구,98.30204660198788
2655,201901,식품,제과류,40,F,서울,서초구,98.72613177618484
2656,201901,식품,제과류,40,F,서울,송파구,97.38748192226822
2659,201901,식품,제과류,40,M,서울,강동구,97.38003521189708
2664,201901,식품,제과류,40,all,서울,강동구,96.20174830097702
2673,201901,식품,주류,40,F,서울,송파구,101.7534650377689
2691,201901,일용품,생활용품,40,F,서울,송파구,98.22395301709862
